Region,Deposit,Year_col,Credit,CD_Ratio
SOUTHERN REGION,2703924.1534,2018,2446379.1547,0.9047513968259224
Andhra Pradesh,274565.8859,2018,309165.1525,1.126014440893074
Karnataka,835662.1836,2018,582491.0826,0.6970413332462302
Kerala,441923.4521,2018,282033.6608,0.6381957315453366
Tamil Nadu,716716.4979,2018,813599.7525,1.1351765375624403
Lakshadweep,997.3094,2018,82.3505,0.08257267002597188
Puducherry,16241.5102,2018,10357.9514,0.6377455835356985
Telangana,417817.3143,2018,448649.2044,1.0737927535426695
ALL INDIA,11434450.9356,2018,8766972.5819,0.7667156587820867
NORTHERN REGION,2660619.0,2019,2247018.9948,0.8445474511006649
Haryana,409974.0,2019,250429.4392,0.6108422465814906
Himachal Pradesh,95529.0,2019,29432.955,0.30810492101874826
Jammu & Kashmir,118122.0,2019,53696.5598,0.4545855962479471
Punjab,379577.0,2019,228852.7093,0.6029151115583926
Rajasthan,379008.0,2019,308470.8799,0.8138901550890746
Chandigarh,68300.0,2019,76110.9325,1.1143621156661785
Delhi,1210108.0,2019,1300025.5191,1.0743053670416194
Ladakh,,2019,,
NORTH EASTERN REGION,243058.0,2019,98097.5464,0.40359727472455137
Arunachal Pradesh,16659.0,2019,3833.6355,0.23012398703403564
Assam,147091.0,2019,65150.0734,0.44292358743906834
Manipur,9927.0,2019,4899.8527,0.49358846580034255
Meghalaya,24063.0,2019,6479.951,0.26929106927648255
Mizoram,9255.0,2019,3404.8274,0.3678905888708806
Nagaland,11183.0,2019,3958.9161,0.35401199141554146
Tripura,24880.0,2019,10370.2903,0.4168123110932476
EASTERN REGION,1675417.0,2019,693178.8741,0.4137351322685636
Bihar,353169.0,2019,122446.4031,0.3467076756453709
Jharkhand,218585.0,2019,60470.4558,0.2766450387721024
Odisha,309554.0,2019,119893.1128,0.3873092022716554
Sikkim,9632.0,2019,2731.2178,0.28355666528239204
West Bengal,779291.0,2019,385464.5024,0.4946348699009741
Andaman & Nicobar Islands,5186.0,2019,2173.1822,0.4190478596220594
CENTRAL REGION,1690154.0,2019,836775.2344,0.495088160250486
Chhattisgarh,142656.0,2019,90253.0561,0.6326621810509198
Madhya Pradesh,368951.0,2019,250692.1237,0.6794726771305675
Uttar Pradesh,1041507.0,2019,444368.1071,0.42665878107396304
Uttarakhand,137040.0,2019,51461.9475,0.3755250109457093
WESTERN REGION,3362951.0,2019,3298738.2933,0.9809058452829078
Goa,71135.0,2019,18802.8204,0.26432586490475857
Gujarat,674922.0,2019,532149.6538,0.7884609685267334
Maharashtra,2607845.0,2019,2744200.3598,1.052286604380245
Dadra & Nagar Haveli,3994.0,2019,2242.2407,0.5614022784176264
Daman & Diu,5055.0,2019,1343.2186,0.26572079129574677
SOUTHERN REGION,3006810.0,2019,2723786.1794,0.9058723961274573
Andhra Pradesh,300452.0,2019,365356.5502,1.2160230259741989
Karnataka,934364.0,2019,651148.6778,0.6968897322670822
Kerala,495762.0,2019,326845.8959,0.6592798477898669
Tamil Nadu,798738.0,2019,880961.3587,1.1029415887312235
Lakshadweep,1096.0,2019,88.9274,0.08113813868613139
Puducherry,17818.0,2019,11890.1897,0.6673133741160625
Telangana,458581.0,2019,487494.5797,1.0630501039074884
ALL INDIA,12639009.0,2019,9897595.1224,0.7830989852448084
NORTHERN REGION,2853810.0,2020,2365364.3281,0.8288443617830199
Haryana,475352.0,2020,260618.5872,0.5482644171056397
Himachal Pradesh,103545.0,2020,31305.9284,0.30234128543145494
Jammu & Kashmir,128026.0,2020,58663.03,0.45821184759345757
Punjab,410987.0,2020,234737.578,0.5711557251202593
Rajasthan,420150.0,2020,334448.5403,0.7960217548494585
Chandigarh,72552.0,2020,78689.9836,1.0846011633035617
Delhi,1238245.0,2020,1365109.8536,1.1024553732096638
Ladakh,4955.0,2020,1790.827,0.36141816347124117
NORTH EASTERN REGION,265655.0,2020,109136.14,0.4108190698462291
Arunachal Pradesh,17171.0,2020,4277.2346,0.24909641837982643
Assam,164299.0,2020,70625.1139,0.4298572352844509
Manipur,10369.0,2020,5930.7897,0.5719731603819076
Meghalaya,23756.0,2020,8374.382,0.3525165010944603
Mizoram,11332.0,2020,4087.0241,0.36066220437698554
Nagaland,12242.0,2020,4595.6733,0.3754021646789741
Tripura,26487.0,2020,11245.9224,0.4245827160493827
EASTERN REGION,1794725.0,2020,750927.821,0.41840829152098513
Bihar,375707.0,2020,135678.8473,0.36112941015205996
Jharkhand,234106.0,2020,66703.3735,0.28492808172366363
Odisha,341140.0,2020,134861.7759,0.39532677463797855
Sikkim,10130.0,2020,3158.7149,0.3118178578479763
West Bengal,827832.0,2020,408143.7694,0.49302729225253433
Andaman & Nicobar Islands,5811.0,2020,2381.34,0.40979865771812085
CENTRAL REGION,1851772.0,2020,904362.321,0.48837671214382766
Chhattisgarh,160542.0,2020,100163.6531,0.6239093389891741
Madhya Pradesh,396779.0,2020,274404.6373,0.6915805455933908
Uttar Pradesh,1144902.0,2020,475156.5625,0.4150194186926043
Uttarakhand,149549.0,2020,54637.4681,0.36534826779182744
WESTERN REGION,3633175.0,2020,3439907.0047,0.946804655624901
Goa,76533.0,2020,19241.7067,0.25141712333241867
Gujarat,738912.0,2020,552428.2138,0.74762382232255
Maharashtra,2807751.0,2020,2863779.2089,1.0199548353468666
Dadra & Nagar Haveli,9979.0,2020,4458.0,0.446738150115242
Daman & Diu,,2020,,
SOUTHERN REGION,3349517.0,2020,2949114.0097,0.8804594840688971
Andhra Pradesh,324873.0,2020,407142.1467,1.2532347923650164
Karnataka,1061242.0,2020,692031.9869,0.6520963049898139
Kerala,545024.0,2020,354383.8292,0.6502169247592766
Tamil Nadu,899038.0,2020,966505.8906,1.075044537160832
Lakshadweep,1115.0,2020,96.5768,0.08661596412556054
Puducherry,20043.0,2020,12822.6431,0.6397566781419947
Telangana,498184.0,2020,516130.9364,1.036024714563294
ALL INDIA,13748655.0,2020,10518811.6245,0.7650793204498914
NORTHERN REGION,3215617.0,2021,2409598.5346,0.7493425164128688
Haryana,538565.0,2021,287498.7941,0.533823761477259
Himachal Pradesh,112344.0,2021,34770.0759,0.3094965098269601
Jammu & Kashmir,142897.0,2021,69301.5679,0.4849756670888822
Punjab,459027.0,2021,252684.5586,0.5504786398185727
Rajasthan,474438.0,2021,369374.3245,0.7785513059662168
Chandigarh,81320.0,2021,78152.8793,0.9610536067388097
Delhi,1400864.0,2021,1315663.4217,0.9391799787131371
Ladakh,6161.0,2021,2152.9126,0.34944207109235514
NORTH EASTERN REGION,283662.0,2021,125047.5042,0.4408327664614929
Arunachal Pradesh,19525.0,2021,4920.1164,0.2519905966709347
Assam,173014.0,2021,80870.842,0.4674236882564417
Manipur,12323.0,2021,7115.395,0.577407692931916
Meghalaya,25821.0,2021,9718.8826,0.37639450834592003
Mizoram,12000.0,2021,5038.0691,0.41983909166666666
Nagaland,12579.0,2021,5432.0144,0.4318319739247953
Tripura,28400.0,2021,11952.1847,0.42085157394366196
EASTERN REGION,1922787.0,2021,799786.4596,0.41595166786544735
Bihar,397492.0,2021,159317.7522,0.4008074431686675
Jharkhand,256070.0,2021,76370.9036,0.2982422915609013
Odisha,363567.0,2021,143676.3768,0.39518541781844885
Sikkim,10604.0,2021,3799.5892,0.3583165975103734
West Bengal,889011.0,2021,413826.6282,0.4654910098975153
Andaman & Nicobar Islands,6043.0,2021,2795.2096,0.46255330134039385
CENTRAL REGION,2069799.0,2021,1004655.7257,0.48538806217415315
Chhattisgarh,173217.0,2021,108588.1767,0.6268909904916954
Madhya Pradesh,453372.0,2021,307614.1719,0.6785028010110903
Uttar Pradesh,1277878.0,2021,530105.5711,0.41483269224448654
Uttarakhand,165333.0,2021,58347.806,0.35291082844925087
WESTERN REGION,4090626.0,2021,3531415.6703,0.863294681620857
Goa,85771.0,2021,21037.7284,0.24527787247437946
Gujarat,830161.0,2021,580273.0527,0.6989885729394659
Maharashtra,3163108.0,2021,2926015.4769,0.9250444426494449
Dadra & Nagar Haveli,11586.0,2021,4089.0,0.3529259451061626
Daman & Diu,,2021,,
SOUTHERN REGION,3861018.0,2021,3207545.896,0.8307513448525752
Andhra Pradesh,359770.0,2021,473132.513,1.3150971815326458
Karnataka,1256023.0,2021,750843.3526,0.5977942701686195
Kerala,607649.0,2021,378761.9015,0.6233235000798157
Tamil Nadu,1008731.0,2021,1025780.9565,1.0169023818044651
Lakshadweep,1239.0,2021,97.2256,0.07847102502017757
Puducherry,22138.0,2021,14337.4936,0.6476417743246906
Telangana,605468.0,2021,564592.4532,0.9324893358525966
ALL INDIA,15443510.0,2021,11078049.7904,0.7173272002543464
NORTHERN REGION,3518809.6958,2022,2734759.2060000002,0.777183036998042
Haryana,614013.9498,2022,372954.8839,0.6074045777322827
Himachal Pradesh,123671.7909,2022,40941.754799999995,0.3310516852877562
Jammu & Kashmir,153228.8565,2022,79961.2903,0.5218422438595957
Punjab,510137.9739,2022,288330.75190000003,0.5652015075367045
Rajasthan,530633.8932,2022,442730.00360000005,0.8343417359379486
Chandigarh,89738.4708,2022,82007.4504,0.9138494301153169
Delhi,1489929.9302,2022,1425078.8996,0.9564737714938749
Ladakh,7454.8305,2022,2754.1715000000004,0.36944790361095403
NORTH EASTERN REGION,315843.16,2022,146645.8921,0.4642997242682096
Arunachal Pradesh,24121.2383,2022,6053.2528,0.25095116281820407
